Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,0.00,4.69,24.00,-10.00,0.12,14.70,16,0.00,0.00,133.1,3.78,54,11.50,0.00,46,6.04,1.48,2952,6.61,0.0,43,0.00,0
0.080,0.00,4.69,23.77,-10.02,0.12,14.70,16,0.00,0.00,132.7,3.78,54,11.50,0.00,46,6.04,1.48,2930,6.63,0.0,43,0.00,0
0.181,0.00,4.69,23.89,-10.04,0.12,14.70,16,0.00,0.00,134.1,3.90,54,11.50,0.00,46,6.01,1.48,2855,6.69,0.0,43,0.00,0
0.289,0.00,4.69,24.00,-10.06,0.13,14.70,16,0.00,0.00,136.2,3.92,54,11.50,0.00,46,5.94,1.46,2830,6.71,0.0,43,0.00,0
0.388,0.00,4.69,23.77,-10.09,0.13,14.70,16,0.00,0.00,133.4,3.94,54,11.50,0.00,46,5.81,1.46,2778,6.88,0.0,42,0.00,0
0.481,0.00,4.69,24.12,-10.13,0.13,14.70,16,0.00,0.00,134.1,3.94,54,11.50,0.00,46,5.81,1.46,2765,7.15,0.0,42,0.00,0
0.591,0.00,4.69,23.77,-10.15,0.13,14.70,16,0.00,0.00,135.2,3.92,54,11.50,0.00,46,5.75,1.46,2700,7.27,0.0,42,0.00,0
0.678,0.00,4.69,24.23,-10.13,0.13,14.70,16,0.00,0.00,136.7,3.84,54,11.50,0.00,46,5.75,1.44,2646,7.56,0.0,42,0.00,0
0.780,0.00,4.69,24.12,-10.15,0.13,14.70,16,0.00,0.00,137.8,3.80,54,11.50,0.00,46,5.62,1.44,2614,7.73,0.0,40,0.00,0
0.874,0.00,4.69,23.66,-10.17,0.13,14.70,16,0.00,0.00,129.8,3.80,54,11.50,0.00,46,5.36,1.44,2468,8.28,0.0,40,0.00,0
0.974,0.00,4.69,24.12,-10.17,0.13,14.70,16,0.00,0.00,143.0,3.80,54,11.50,0.00,46,5.20,1.40,2370,9.24,0.0,40,0.00,0
1.079,0.00,5.47,23.77,-10.17,0.13,14.70,16,0.00,0.00,152.9,3.82,54,11.50,0.00,46,4.39,1.36,2200,9.36,0.0,40,0.00,0
1.179,0.00,5.47,24.00,-10.04,0.13,14.70,16,0.00,0.00,145.6,3.88,54,11.50,0.00,48,5.08,1.42,2128,9.24,15.3,40,5.49,0
1.280,0.00,4.69,24.00,-4.33,0.34,9.53,16,0.00,0.00,78.1,3.88,54,4.50,2.92,48,39.71,2.54,1956,7.75,28.2,37,7.84,0
1.384,0.00,6.25,24.12,-0.99,0.72,13.50,16,0.00,0.00,27.0,3.88,54,4.50,9.32,48,25.68,2.34,1986,7.06,20.4,37,12.16,0
1.481,0.00,6.25,23.66,-2.20,0.72,15.36,16,0.00,0.00,25.6,3.84,54,7.00,8.65,48,16.75,1.70,2252,2.11,0.0,37,0.00,0
