Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-12.50,9.38,14.13,-6.69,0.37,14.83,16,0.00,0.00,24.5,3.50,46,41.50,7.71,45,19.88,2.08,3265,3.21,9.8,45,0.00,0
0.046,-11.72,9.38,14.36,-6.67,0.36,14.87,16,0.00,0.00,24.9,3.52,46,41.50,7.72,45,20.05,2.10,3291,3.21,9.8,45,0.00,0
0.143,-10.94,9.38,14.59,-6.67,0.37,14.87,16,0.00,0.00,25.2,3.48,46,41.50,7.67,45,19.02,2.08,3296,3.23,9.8,45,0.00,0
0.250,-10.16,9.38,14.70,-6.71,0.36,14.87,16,0.00,0.00,26.3,3.46,46,41.00,7.69,45,19.40,2.08,3275,3.23,9.8,45,0.00,0
0.342,-7.81,9.38,14.93,-6.65,0.36,14.90,16,0.00,0.00,26.3,3.44,48,41.00,7.75,45,19.84,2.08,3304,3.17,9.8,45,0.00,0
0.446,-5.47,9.38,15.04,-6.63,0.36,14.90,16,0.00,0.00,26.1,3.42,48,41.00,7.71,45,19.94,2.08,3285,3.15,9.8,45,0.00,0
0.549,-3.12,9.38,14.93,-6.63,0.36,15.07,16,0.00,0.00,25.4,3.44,48,41.50,7.73,45,19.34,2.08,3294,3.17,9.8,45,0.00,0
0.650,-2.34,9.38,14.81,-6.65,0.36,14.93,16,0.00,0.00,25.6,3.42,48,41.00,7.71,45,19.97,2.08,3286,3.15,9.8,45,0.00,0
0.749,-0.78,9.38,14.81,-6.65,0.37,14.93,16,0.00,0.00,26.1,3.36,48,41.50,8.44,45,20.44,2.10,3295,3.15,9.8,45,0.00,0
0.848,-0.78,9.38,14.70,-6.63,0.37,14.93,16,0.00,0.00,25.9,3.36,46,41.50,8.51,45,20.05,2.10,3323,3.17,9.8,45,0.00,0
0.949,0.00,9.38,14.59,-6.63,0.37,14.93,16,0.00,0.00,25.2,3.40,46,41.50,8.46,45,20.44,2.08,3305,3.15,9.8,45,0.00,0
