Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-3.12,8.59,13.67,-9.05,0.18,14.69,16,0.00,0.00,154.5,3.42,43,20.00,1.27,46,2.60,1.16,850,8.64,0.0,38,0.00,0
0.055,-3.12,8.59,13.44,-9.01,0.18,14.69,16,0.00,0.00,153.1,3.44,43,20.00,1.24,46,2.56,1.16,830,8.60,0.0,38,0.00,0
0.163,-3.91,8.59,13.44,-9.03,0.19,14.69,16,0.00,0.00,153.1,3.46,43,20.00,1.22,46,2.58,1.18,816,8.62,0.0,38,0.00,0
0.264,-3.91,8.59,13.55,-8.95,0.19,14.69,16,0.00,0.00,156.2,3.42,43,20.00,1.18,46,2.55,1.16,791,8.55,0.0,38,0.00,0
0.364,-3.91,8.59,13.55,-8.91,0.19,14.69,16,0.00,0.00,154.8,3.46,43,20.00,1.19,46,2.53,1.14,794,8.53,0.0,37,0.00,0
0.463,-3.91,8.59,13.67,-8.88,0.19,14.69,16,0.00,0.00,157.4,3.44,43,20.00,1.15,46,2.53,1.16,770,8.45,0.0,37,0.00,0
0.565,-3.91,8.59,14.01,-8.82,0.19,14.69,16,0.00,0.00,163.9,3.46,43,20.00,1.14,46,2.47,1.14,761,8.39,0.0,37,0.00,0
0.662,-3.91,8.59,14.01,-8.76,0.19,14.69,16,0.00,0.00,162.5,3.42,43,20.00,1.11,46,2.47,1.14,742,8.33,0.0,37,0.00,0
0.764,-4.69,8.59,14.13,-8.72,0.20,14.69,16,0.00,0.00,165.4,3.38,43,20.00,1.12,46,2.47,1.14,747,8.28,0.0,37,0.00,0
0.864,-4.69,8.59,14.13,-8.64,0.20,14.69,16,0.00,0.00,169.4,3.38,43,20.00,1.09,46,2.43,1.14,727,8.26,0.0,37,0.00,0
0.964,-4.69,8.59,14.24,-8.62,0.20,14.69,16,0.00,0.00,170.8,3.40,43,20.00,1.06,46,2.39,1.14,708,8.20,0.0,37,0.00,0
1.065,-4.69,8.59,14.13,-8.60,0.20,14.69,16,0.00,0.00,170.8,3.40,43,20.00,1.06,46,2.39,1.14,710,8.20,0.0,37,0.00,0
1.170,-4.69,8.59,14.13,-8.55,0.20,14.69,16,0.00,0.00,172.2,3.40,43,20.00,1.04,46,2.37,1.14,682,8.12,0.0,37,0.00,0
1.270,-4.69,8.59,14.24,-8.49,0.20,14.69,16,0.00,0.00,170.8,3.42,43,20.00,1.01,46,2.41,1.14,676,8.08,0.0,37,0.00,0
1.371,-4.69,8.59,14.24,-8.39,0.21,14.69,16,0.00,0.00,165.1,3.48,43,20.00,1.02,46,2.49,1.16,683,7.95,0.0,37,0.00,0
1.465,-4.69,8.59,14.36,-8.33,0.21,14.69,16,0.00,0.00,161.4,3.44,43,20.00,1.01,46,2.53,1.18,673,7.93,0.0,37,0.00,0
1.564,-4.69,8.59,14.47,-8.24,0.22,14.69,16,0.00,0.00,158.1,3.46,43,20.00,1.01,46,2.65,1.20,674,7.79,0.0,37,0.00,0
1.667,-4.69,8.59,14.59,-8.10,0.22,14.68,16,0.00,0.00,151.7,3.46,43,20.00,1.16,46,2.73,1.18,680,7.70,0.0,37,0.00,0
1.771,-4.69,8.59,14.70,-8.01,0.23,14.68,16,0.00,0.00,151.9,3.46,43,20.00,1.17,46,2.75,1.18,686,7.58,0.0,37,0.00,0
1.865,-4.69,8.59,14.81,-7.97,0.23,14.68,16,0.00,0.00,153.1,3.44,43,18.50,1.19,46,2.75,1.20,694,7.56,0.0,37,0.00,0
1.973,-4.69,8.59,14.93,-7.97,0.23,14.68,16,0.00,0.00,154.3,3.42,43,16.00,1.22,46,2.75,1.20,712,7.56,0.0,37,0.00,0
2.068,-4.69,8.59,15.04,-7.95,0.23,14.68,16,0.00,0.00,160.7,3.44,43,15.50,1.22,46,2.66,1.18,717,7.58,0.0,37,0.00,0
2.174,-3.91,8.59,15.04,-8.04,0.22,14.69,16,0.00,0.00,167.7,3.46,43,13.00,1.26,46,2.57,1.18,736,7.64,0.0,37,0.00,0
2.274,-3.91,8.59,15.27,-8.12,0.22,14.69,16,0.00,0.00,171.5,3.46,43,12.50,1.26,46,2.49,1.14,739,7.79,0.0,36,0.00,0
2.368,-3.91,8.59,15.27,-8.20,0.21,14.69,16,0.00,0.00,175.7,3.48,43,13.00,1.10,46,2.43,1.14,735,7.81,0.0,36,0.00,0
2.469,-3.91,8.59,15.39,-8.28,0.21,14.69,16,0.00,0.00,176.9,3.50,43,12.50,1.10,46,2.47,1.18,728,7.87,0.0,36,0.00,0
2.570,-3.91,8.59,15.27,-8.26,0.21,14.69,16,0.00,0.00,170.1,3.50,43,14.50,1.07,46,2.51,1.14,719,7.89,0.0,36,0.00,0
2.674,-3.91,8.59,15.16,-8.28,0.21,14.69,16,0.00,0.00,167.5,3.50,43,15.50,1.06,46,2.55,1.14,687,7.85,0.0,37,0.00,0
2.774,-3.91,8.59,15.16,-8.26,0.21,14.69,16,0.00,0.00,167.7,3.46,43,17.50,1.02,46,2.55,1.18,685,7.85,0.0,37,0.00,0
2.874,-3.91,8.59,15.04,-8.20,0.22,14.69,16,0.00,0.00,160.7,3.44,43,17.50,1.15,46,2.66,1.20,677,7.73,0.0,37,0.00,0
2.975,-3.91,8.59,15.04,-8.08,0.23,14.69,16,0.00,0.00,155.5,3.46,43,16.50,1.18,46,2.77,1.18,688,7.68,0.0,37,0.00,0
3.075,-3.91,8.59,15.16,-8.01,0.23,14.69,16,0.00,0.00,154.3,3.44,43,15.50,1.19,46,2.79,1.18,697,7.58,0.0,37,0.00,0
3.180,-3.12,8.59,15.27,-7.97,0.23,14.69,16,0.00,0.00,150.3,3.44,43,14.00,1.19,46,2.79,1.22,699,7.56,0.0,35,0.00,0
