Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,0.00,8.59,23.66,-10.23,0.12,14.70,16,0.00,0.00,96.9,3.64,54,11.50,0.00,45,5.43,1.44,2711,7.33,0.0,29,0.00,0
0.092,0.00,8.59,24.00,-10.25,0.12,14.70,16,0.00,0.00,97.8,3.56,54,11.50,0.00,45,5.43,1.44,2684,7.44,0.0,29,0.00,0
0.196,0.00,8.59,23.77,-10.25,0.12,14.70,16,0.00,0.00,94.8,3.52,55,11.50,0.00,45,5.56,1.44,2680,7.48,0.0,29,0.00,0
0.286,0.00,8.59,23.66,-10.19,0.13,14.70,16,0.00,0.00,89.1,3.72,54,11.50,0.00,45,5.72,1.46,2636,7.66,0.0,27,0.00,0
0.388,0.00,8.59,23.66,-10.17,0.13,14.70,16,0.00,0.00,86.8,3.84,55,11.50,0.00,45,5.78,1.46,2630,7.66,0.4,27,0.00,0
0.488,0.00,7.81,24.00,-10.17,0.13,14.70,16,0.00,0.00,87.5,3.72,55,11.50,0.00,45,5.85,1.46,2608,7.64,0.4,27,0.00,0
0.612,0.00,7.81,24.12,-10.17,0.13,14.70,16,0.00,0.00,87.0,3.66,54,11.50,0.00,45,5.88,1.46,2616,7.73,0.4,27,0.00,0
0.702,0.00,7.81,24.00,-10.15,0.13,14.70,16,0.00,0.00,87.0,3.70,54,11.50,0.00,45,5.81,1.46,2598,7.85,0.4,27,0.00,0
0.792,0.00,7.81,23.77,-10.13,0.14,14.70,16,0.00,0.00,82.3,3.68,54,11.50,0.00,45,5.85,1.46,2566,7.95,0.4,26,0.00,0
0.890,0.00,7.81,23.77,-10.13,0.14,14.70,16,0.00,0.00,83.7,3.68,54,11.50,0.00,45,5.75,1.46,2574,7.87,0.4,26,0.00,0
0.998,0.00,7.03,24.00,-10.13,0.14,14.70,16,0.00,0.00,84.4,3.76,55,11.50,0.00,45,5.78,1.46,2554,8.04,0.4,26,0.00,0
1.098,0.00,7.03,23.77,-10.15,0.14,14.70,16,0.00,0.00,84.4,3.76,55,11.50,0.00,45,5.75,1.46,2524,8.10,0.4,26,0.00,0
1.202,0.00,7.03,24.00,-10.15,0.14,14.70,16,0.00,0.00,84.0,3.72,55,11.50,0.00,45,5.75,1.46,2524,8.08,0.4,25,0.00,0
1.293,0.00,7.03,23.77,-10.15,0.14,14.70,16,0.00,0.00,81.1,3.60,55,11.50,0.00,45,5.81,1.46,2513,8.18,0.4,25,0.00,0
1.398,0.00,4.69,24.00,-10.11,0.14,14.70,16,0.00,0.00,82.3,3.52,55,11.50,0.00,45,5.78,1.46,2475,8.14,0.4,25,0.00,0
1.495,0.00,4.69,24.00,-10.11,0.14,14.70,16,0.00,0.00,81.6,3.56,55,11.50,0.00,45,5.81,1.46,2486,8.18,0.8,25,0.00,0
1.595,0.00,4.69,23.77,-10.02,0.15,14.70,16,0.00,0.00,76.4,3.68,55,11.50,0.00,45,6.37,1.50,2446,8.18,1.6,25,0.00,0
1.702,0.00,4.69,23.66,-9.84,0.16,14.70,16,0.00,0.00,68.4,3.74,55,15.50,3.15,45,6.66,1.52,2460,8.04,3.5,25,0.00,0
1.802,0.00,4.69,24.00,-9.44,0.19,13.59,16,0.00,0.00,58.1,3.78,55,23.50,3.63,45,8.92,1.66,2430,7.81,4.3,25,0.00,0
1.902,0.00,4.69,23.77,-9.28,0.22,13.94,16,0.00,0.00,48.7,3.74,55,26.00,4.18,45,9.40,1.68,2447,7.79,4.3,25,0.00,0
2.006,0.00,4.69,23.54,-9.13,0.23,14.67,16,0.00,0.00,46.8,3.58,55,27.00,4.12,45,9.75,1.70,2416,7.72,4.7,25,0.00,0
2.104,0.00,4.69,17.23,-9.01,0.24,14.67,16,0.00,0.00,33.6,3.56,55,27.00,4.15,45,9.89,1.72,2431,7.70,4.7,25,0.00,0
2.203,0.00,4.69,16.31,-8.88,0.25,14.66,16,0.00,0.00,27.5,3.56,55,28.00,4.59,45,10.39,1.74,2390,7.56,5.5,24,0.00,0
2.308,0.00,6.25,15.50,-8.57,0.27,13.80,16,0.00,0.00,25.4,3.50,55,29.00,4.67,45,12.48,1.84,2410,7.04,6.7,24,0.00,0
2.402,7.03,6.25,15.39,-8.08,0.30,13.77,16,0.00,0.00,21.4,3.58,55,33.00,5.76,45,13.32,1.88,2456,6.25,7.1,24,0.00,0
2.502,9.38,6.25,15.27,-7.81,0.32,14.05,16,0.00,0.00,20.5,3.64,55,34.00,5.85,45,14.12,1.90,2379,6.73,7.1,24,0.00,0
2.607,8.59,6.25,14.47,-7.44,0.35,14.64,16,0.00,0.00,17.9,3.50,55,36.00,6.10,45,14.38,1.90,2384,6.44,7.5,24,0.00,0
2.707,7.03,6.25,13.67,-7.29,0.36,14.64,16,0.00,0.00,17.2,3.38,55,36.50,6.24,45,15.07,1.94,2436,5.57,7.8,24,0.00,0
2.808,7.81,6.25,13.55,-7.10,0.37,14.64,16,0.00,0.00,16.5,3.46,55,38.00,6.13,45,14.97,1.92,2394,5.99,8.2,24,0.00,0
2.909,10.16,6.25,13.90,-6.85,0.38,14.14,16,0.00,0.00,16.7,3.56,55,18.00,6.77,45,17.03,2.02,2442,4.97,9.4,24,0.00,0
3.009,10.16,6.25,14.01,-6.42,0.41,14.02,16,0.00,0.00,14.3,3.54,55,40.50,7.81,45,17.78,2.02,2441,4.74,9.4,24,0.00,0
3.105,10.94,6.25,14.01,-6.13,0.43,14.63,16,0.00,0.00,14.1,3.52,55,40.00,7.84,45,18.36,2.06,2450,4.23,9.8,23,0.00,0
3.210,8.59,6.25,13.32,-6.01,0.44,14.64,16,0.00,0.00,12.9,3.46,55,40.00,7.89,45,18.37,2.04,2464,4.10,9.8,23,0.00,0
3.312,6.25,6.25,13.67,-5.92,0.45,14.64,16,0.00,0.00,12.9,3.36,55,40.00,7.88,45,18.88,2.06,2464,4.00,9.8,23,0.00,0
3.411,5.47,6.25,13.90,-5.86,0.46,14.64,16,0.00,0.00,12.9,3.40,55,40.00,7.96,45,19.06,2.06,2488,3.83,9.8,23,0.00,0
3.511,3.12,6.25,13.90,-5.82,0.46,14.67,16,0.00,0.00,12.9,3.36,55,40.00,7.41,45,19.17,2.08,2482,3.91,9.8,23,0.00,0
3.612,1.56,6.25,14.01,-5.76,0.46,14.68,16,0.00,0.00,13.9,3.36,55,40.00,7.44,45,18.57,2.06,2492,3.69,10.2,24,0.00,0
3.713,1.56,6.25,14.24,-5.38,0.48,13.70,16,0.00,0.00,11.3,3.40,55,40.00,8.65,45,23.44,2.22,2533,4.14,15.7,24,1.57,0
3.815,-3.91,6.25,14.01,-3.56,0.62,13.34,16,0.00,0.00,8.9,3.40,55,36.50,9.71,45,29.49,2.52,2544,8.82,25.9,24,5.88,0
3.914,-6.25,6.25,12.98,-0.41,0.85,13.30,16,0.00,0.00,5.9,3.42,55,27.00,13.70,45,42.44,2.62,2569,11.64,38.8,24,7.84,0
4.015,0.00,6.25,16.08,1.01,0.96,13.57,16,0.00,0.00,6.6,3.38,55,24.00,16.78,45,44.48,2.70,2637,11.97,56.5,24,12.55,0
4.119,0.00,6.25,15.73,1.99,1.06,13.07,16,0.00,0.00,4.9,3.32,55,21.50,18.66,45,49.62,2.70,2650,12.90,81.6,24,14.51,0
4.219,0.00,6.25,11.60,3.00,1.13,12.59,16,0.00,0.00,4.2,3.26,55,22.00,20.19,45,54.82,2.82,2704,13.65,100.0,24,18.82,0
4.323,0.00,6.25,12.63,3.93,1.21,12.53,16,0.00,0.00,4.0,3.08,55,21.50,22.69,45,57.61,2.88,2727,12.99,100.0,24,23.53,0
4.414,0.00,6.25,12.17,4.97,1.31,12.36,16,0.00,0.00,3.5,2.84,55,20.00,26.35,45,65.71,2.96,2807,11.70,100.0,24,25.49,0
4.514,0.00,5.47,11.83,6.03,1.40,11.97,16,0.00,0.00,3.1,2.84,55,20.00,28.73,45,68.99,2.98,2866,11.04,100.0,25,29.80,0
4.618,0.00,5.47,11.48,7.06,1.48,11.62,16,0.00,0.00,3.1,3.02,55,17.50,32.10,45,76.57,3.12,2950,9.63,100.0,25,32.16,0
4.724,0.00,4.69,11.14,7.99,1.55,11.50,16,0.00,0.00,2.8,2.98,55,17.50,33.61,45,79.98,3.14,2972,8.45,100.0,25,36.47,0
4.819,0.00,4.69,11.03,8.72,1.57,11.37,16,0.00,0.00,2.6,2.84,55,16.50,36.98,45,84.09,3.20,3095,7.99,100.0,25,38.82,0
4.918,0.00,4.69,11.03,9.61,1.63,11.25,16,0.00,0.00,2.6,2.80,55,16.00,37.70,45,87.69,3.20,3100,7.06,100.0,25,43.14,0
5.024,0.00,3.91,11.03,10.25,1.70,10.76,16,0.00,0.00,2.4,2.84,55,15.00,42.50,45,96.41,3.28,3213,6.54,100.0,27,45.49,0
5.123,0.00,3.91,11.03,11.12,1.76,10.65,16,0.00,0.00,2.4,2.84,55,14.00,45.45,45,100.75,3.40,3288,5.49,100.0,27,49.80,0
5.223,0.00,3.91,11.03,11.89,1.83,10.28,16,0.00,0.00,2.1,2.80,55,13.50,49.89,45,108.23,3.46,3389,4.95,100.0,27,51.76,0
5.324,0.00,3.12,11.03,13.11,1.94,10.30,16,0.00,0.00,2.1,2.84,55,13.00,53.53,45,116.16,3.58,3448,3.40,100.0,27,54.51,0
5.429,0.00,3.12,11.03,14.14,2.05,10.08,16,0.00,0.00,1.9,2.72,55,11.50,58.86,45,126.20,3.62,3538,2.63,100.0,27,54.51,0
5.528,0.00,2.34,11.03,15.41,2.15,10.20,16,0.00,0.00,1.9,2.66,55,11.00,62.61,45,136.44,3.68,3623,1.59,100.0,30,54.51,0
5.624,0.00,2.34,11.03,16.13,2.20,10.09,16,0.00,0.00,1.9,2.50,55,10.50,66.56,45,138.49,3.70,3714,0.89,100.0,30,54.51,0
5.724,0.00,2.34,11.03,16.49,2.21,10.19,16,0.00,0.00,1.9,2.56,55,10.50,68.29,45,144.24,3.76,3811,0.29,100.0,30,54.51,0
5.823,0.00,2.34,11.03,16.73,2.21,10.14,16,0.00,0.00,1.6,2.54,55,11.50,69.56,45,145.15,3.74,3928,0.23,100.0,30,54.51,0
5.928,0.00,2.34,11.03,16.69,2.18,10.21,16,0.00,0.00,1.6,2.54,55,11.50,71.94,45,148.80,3.78,4015,0.21,100.0,33,54.51,0
6.029,0.00,2.34,11.03,16.75,2.19,10.14,16,0.00,0.00,1.9,2.54,55,11.50,73.40,45,150.35,3.82,4096,0.27,100.0,33,54.51,0
6.130,0.00,1.56,11.03,16.44,2.18,10.19,16,0.00,0.00,1.9,2.66,55,12.00,74.81,45,153.17,3.84,4225,0.48,100.0,33,54.51,0
6.227,0.00,1.56,11.03,16.49,2.19,10.11,16,0.00,0.00,1.9,2.66,55,12.00,77.10,45,158.69,3.86,4302,0.60,100.0,33,54.51,0
6.328,0.00,0.00,11.03,16.34,2.19,10.09,16,0.00,0.00,1.6,2.70,55,12.00,77.43,45,161.62,3.90,4373,0.58,100.0,33,54.51,0
6.436,0.00,0.00,11.03,16.40,2.19,10.05,16,0.00,0.00,1.9,2.70,55,12.50,79.00,45,163.91,3.92,4462,0.60,100.0,37,54.51,0
6.529,0.00,0.00,11.03,16.38,2.19,10.03,16,0.00,0.00,1.9,2.66,55,13.00,81.52,45,166.52,3.94,4604,0.54,100.0,37,54.51,0
6.629,0.00,0.00,11.03,16.32,2.18,10.06,16,0.00,0.00,1.9,2.62,55,13.00,82.74,43,168.89,3.94,4673,0.68,100.0,37,54.51,0
6.739,0.00,0.00,11.03,16.07,2.17,10.00,16,0.00,0.00,1.9,2.58,55,13.50,83.94,43,170.64,3.96,4798,0.85,100.0,37,54.51,0
6.833,0.00,0.00,11.03,15.84,2.15,10.00,16,0.00,0.00,1.9,2.52,55,14.00,84.37,43,172.73,3.98,4823,1.08,100.0,37,54.51,0
