Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,0.00,10.16,23.89,-9.94,0.14,14.70,13,0.00,0.00,194.1,3.40,36,11.50,0.00,21,3.38,1.26,1402,9.44,0.0,35,0.00,0
0.036,0.00,10.16,24.12,-9.78,0.15,13.53,13,0.00,0.00,198.8,3.38,36,20.00,1.84,21,3.80,1.32,1234,9.22,0.0,35,0.00,0
0.155,0.00,10.16,23.77,-9.49,0.17,13.34,13,0.00,0.00,162.8,3.40,36,20.00,1.86,21,4.01,1.32,1247,8.53,15.7,35,0.00,0
0.240,0.00,10.16,23.66,-5.16,0.47,10.50,13,0.00,0.00,24.5,3.32,36,2.50,5.10,21,25.42,2.28,1196,4.39,15.3,34,2.35,0
0.343,0.00,10.16,21.13,-2.82,0.69,13.40,13,0.00,-2.11,26.1,3.26,36,2.50,7.00,21,21.05,2.00,1312,3.87,0.0,34,0.00,0
0.447,-0.78,10.16,12.63,-5.99,0.47,18.21,13,0.00,-2.11,69.6,3.20,36,27.00,3.99,21,4.42,1.34,1702,5.49,0.0,34,0.00,0
0.544,-2.34,10.16,11.48,-7.93,0.29,17.35,13,0.00,0.00,74.6,3.18,36,22.50,3.42,21,4.01,1.32,1843,7.66,0.0,34,0.00,0
0.662,-3.12,10.16,11.48,-8.66,0.19,15.91,13,0.00,0.00,81.1,3.28,36,14.50,2.82,21,3.98,1.32,1889,8.02,0.0,34,0.00,0
0.749,-2.34,10.16,13.44,-9.49,0.15,15.45,13,0.00,0.00,90.3,3.34,36,13.50,2.47,21,3.90,1.32,1984,8.93,0.0,32,0.00,0
0.843,0.00,10.16,13.90,-9.82,0.13,14.70,13,0.00,0.00,92.0,3.50,36,11.50,0.00,21,3.93,1.32,2030,9.09,0.0,32,0.00,0
