Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,4.69,7.03,14.47,-3.96,0.57,15.49,13,0.00,-1.05,30.1,2.14,37,28.00,5.77,41,15.12,1.92,1592,3.44,8.2,40,0.00,0
0.054,4.69,7.03,14.59,-3.96,0.57,15.50,13,0.00,-1.05,30.3,2.16,37,28.00,5.80,41,15.01,1.92,1590,3.46,8.2,40,0.00,0
0.182,5.47,7.03,14.59,-3.96,0.56,15.50,13,0.00,-1.05,30.3,2.16,37,28.50,5.81,41,15.07,1.92,1602,3.44,8.2,40,0.00,0
0.266,5.47,7.03,14.59,-3.94,0.57,15.50,13,0.00,-1.05,30.8,2.18,37,28.00,5.73,41,15.00,1.92,1581,3.46,8.2,41,0.00,0
0.361,4.69,7.03,14.59,-3.94,0.57,15.50,13,0.00,-1.05,30.1,2.16,37,28.50,5.75,41,15.24,1.92,1586,3.42,8.2,41,0.00,0
0.460,4.69,7.03,14.47,-3.96,0.56,15.50,13,0.00,-1.05,30.6,2.10,37,28.00,5.77,41,14.69,1.92,1591,3.46,8.2,41,0.00,0
0.570,5.47,7.03,14.59,-3.94,0.57,15.50,13,0.00,-1.05,30.8,1.72,37,28.00,5.79,41,15.01,1.92,1596,3.44,8.2,41,0.00,0
0.658,4.69,7.03,14.59,-3.91,0.57,15.50,13,0.00,-1.05,30.8,1.30,37,28.50,5.82,41,15.06,1.92,1605,3.42,8.2,41,0.00,0
0.761,5.47,7.03,14.59,-3.94,0.57,15.51,13,0.00,-1.05,30.3,1.14,37,28.00,5.76,41,15.01,1.92,1587,3.42,8.2,40,0.00,0
0.861,5.47,7.03,14.47,-3.91,0.57,15.50,13,0.00,-1.05,29.9,1.06,37,28.50,5.82,41,15.18,1.92,1606,3.38,8.2,40,0.00,0
0.960,5.47,7.03,14.59,-3.91,0.57,15.51,13,0.00,-1.05,30.3,1.20,37,28.00,5.78,41,15.06,1.90,1593,3.44,8.2,40,0.00,0
1.065,5.47,7.03,14.59,-3.93,0.56,15.51,13,0.00,-1.05,29.6,1.34,37,28.00,5.80,41,15.23,1.92,1598,3.42,8.2,40,0.00,0
1.161,5.47,7.03,14.47,-3.96,0.57,15.51,13,0.00,-1.05,30.1,1.24,37,28.00,5.80,41,15.06,1.92,1599,3.42,8.2,40,0.00,0
1.260,4.69,7.03,14.59,-3.94,0.56,15.51,13,0.00,-1.05,30.3,1.02,37,28.00,5.74,41,14.88,1.92,1583,3.44,8.2,40,0.00,0
1.365,5.47,7.03,14.59,-3.96,0.56,15.51,13,0.00,-1.05,30.1,1.06,37,28.00,5.75,41,14.76,1.92,1602,3.40,8.2,40,0.00,0
1.464,5.47,7.03,14.59,-3.94,0.56,15.55,13,0.00,-1.05,30.3,1.22,37,28.50,5.80,41,14.88,1.90,1598,3.42,8.2,40,0.00,0
1.564,4.69,7.03,14.59,-3.91,0.56,15.51,13,0.00,-1.05,30.6,1.34,37,28.00,5.79,41,14.89,1.92,1592,3.44,8.2,40,0.00,0
1.660,6.25,7.03,14.59,-3.96,0.56,15.51,13,0.00,-1.05,30.6,1.38,37,28.50,5.83,41,15.07,1.94,1606,3.44,8.2,40,0.00,0
1.762,6.25,7.03,14.70,-3.94,0.56,15.55,13,0.00,-1.05,31.8,1.32,37,28.50,5.74,41,14.88,1.90,1583,3.46,8.2,40,0.00,0
1.862,6.25,7.03,14.70,-3.96,0.56,15.52,13,0.00,-1.05,30.1,1.28,37,28.00,5.77,41,15.12,1.92,1591,3.46,7.5,40,0.00,0
1.966,6.25,7.03,14.47,-4.18,0.54,16.24,13,0.00,-1.05,31.0,1.30,37,28.50,5.79,41,10.97,1.66,1595,4.45,2.7,40,0.00,0
2.070,5.47,7.03,14.36,-5.98,0.43,18.57,13,0.00,-1.05,61.2,1.34,37,32.00,4.08,41,7.36,1.48,1596,5.47,0.0,40,0.00,0
2.166,4.69,7.03,13.78,-7.19,0.32,18.12,13,0.00,0.00,75.7,1.36,37,22.50,3.08,41,5.24,1.42,1604,7.15,0.0,41,0.00,0
2.262,4.69,7.03,13.44,-8.10,0.25,17.00,13,0.00,0.00,89.9,1.40,37,18.00,2.77,41,4.76,1.38,1622,7.99,0.0,41,0.00,0
2.363,0.00,7.03,13.90,-9.01,0.20,16.40,13,0.00,0.00,97.8,1.40,37,14.00,0.00,41,3.80,1.28,1602,8.64,0.0,41,0.00,0
2.469,0.00,7.81,14.47,-9.49,0.17,15.83,13,0.00,0.00,132.9,1.34,37,13.00,0.00,41,3.46,1.28,1548,8.39,10.6,41,0.00,0
2.572,0.00,7.03,16.08,-6.52,0.31,9.64,13,0.00,0.00,37.9,1.16,37,2.50,4.20,41,16.50,2.10,1408,6.01,11.8,41,0.00,0
2.669,0.00,7.03,23.20,-4.27,0.54,12.17,13,0.00,-1.05,38.1,1.14,37,2.50,6.39,41,20.18,1.50,1592,4.80,0.0,41,0.00,0
2.772,0.00,7.03,21.25,-6.56,0.40,16.88,13,0.00,0.00,69.9,1.22,37,32.00,4.08,41,6.37,1.48,1738,6.30,0.0,41,0.00,0
2.870,-2.34,7.03,12.17,-7.97,0.28,16.33,13,0.00,0.00,66.6,1.18,37,25.00,3.63,41,5.85,1.46,2008,7.37,0.0,41,0.00,0
2.970,-2.34,7.03,11.94,-8.64,0.21,15.55,13,0.00,0.00,72.2,0.88,37,17.00,3.12,41,5.62,1.44,2086,7.99,0.0,41,0.00,0
3.076,-2.34,7.03,13.55,-9.32,0.18,15.24,13,0.00,0.00,80.0,0.78,37,15.50,3.09,41,7.19,1.36,2036,8.78,0.0,40,0.00,0
3.171,0.00,7.03,13.90,-9.80,0.15,15.11,13,0.00,0.00,99.0,1.00,37,13.00,0.00,41,4.36,1.36,2052,9.03,0.0,40,0.00,0
3.270,0.00,7.81,13.78,-10.04,0.14,14.70,13,0.00,0.00,99.5,1.30,37,11.50,0.00,41,4.36,1.34,2056,9.24,0.0,40,0.00,0
3.376,0.00,7.81,16.08,-10.06,0.13,14.70,13,0.00,0.00,116.0,1.44,37,11.50,0.00,41,4.34,1.34,2028,9.28,0.0,40,0.00,0
3.471,0.00,7.81,19.06,-10.06,0.13,14.70,13,0.00,0.00,142.1,1.18,37,11.50,0.00,41,4.42,1.36,2024,9.28,0.0,40,0.00,0
3.571,0.00,8.59,25.27,-10.06,0.13,14.70,13,0.00,0.00,179.5,1.00,37,11.50,0.00,41,4.34,1.34,2031,9.28,0.0,40,0.00,0
3.674,0.00,8.59,25.73,-10.06,0.13,14.70,13,0.00,0.00,182.8,0.76,37,11.50,0.00,41,4.34,1.36,2007,9.30,0.0,40,0.00,0
3.780,0.00,8.59,23.66,-10.06,0.13,14.70,13,0.00,0.00,167.9,0.94,37,11.50,0.00,41,4.34,1.34,2005,9.32,0.0,40,0.00,0
3.873,0.00,8.59,23.54,-10.07,0.13,14.70,13,0.00,0.00,168.4,1.14,37,11.50,0.00,41,4.28,1.34,2009,9.32,0.0,40,0.00,0
3.974,0.00,9.38,23.77,-10.06,0.13,14.70,13,0.00,0.00,168.9,1.16,37,11.50,0.00,41,4.34,1.34,2010,9.32,0.0,39,0.00,0
4.080,0.00,9.38,23.89,-10.07,0.13,14.70,13,0.00,0.00,167.7,1.16,37,11.50,0.00,41,4.28,1.34,1983,9.32,0.0,39,0.00,0
4.180,0.00,9.38,24.12,-10.02,0.13,14.70,13,0.00,0.00,171.0,1.22,37,11.50,0.00,41,4.28,1.34,1976,9.24,0.0,39,0.00,0
4.281,0.00,9.38,23.66,-9.98,0.13,14.70,13,0.00,0.00,169.4,1.16,37,11.50,0.00,41,4.28,1.34,1987,9.24,0.0,39,0.00,0
4.375,0.00,9.38,24.23,-9.98,0.13,14.70,13,0.00,0.00,173.8,1.08,37,11.50,0.00,41,4.23,1.34,1965,9.24,0.0,39,0.00,0
4.476,0.00,11.72,23.77,-9.98,0.13,14.70,13,0.00,0.00,171.5,1.14,37,11.50,0.00,41,4.23,1.34,1952,9.26,0.0,39,0.00,0
4.583,0.00,11.72,24.23,-9.98,0.13,14.70,13,0.00,0.00,171.7,1.16,37,11.50,0.00,41,4.25,1.34,1944,9.26,0.0,39,0.00,0
4.677,0.00,11.72,23.89,-10.00,0.13,14.70,13,0.00,0.00,171.5,1.14,37,11.50,0.00,41,4.25,1.34,1956,9.28,0.0,39,0.00,0
4.777,0.00,11.72,24.35,-9.98,0.13,14.70,13,0.00,0.00,172.6,1.14,37,11.50,0.00,41,4.20,1.34,1944,9.26,0.0,39,0.00,0
4.878,0.00,11.72,24.00,-9.98,0.13,14.70,13,0.00,0.00,174.8,1.10,37,11.50,0.00,41,4.17,1.34,1936,9.26,0.0,39,0.00,0
4.983,0.00,11.72,24.00,-9.98,0.13,14.70,13,0.00,0.00,171.9,1.04,37,11.50,0.00,41,4.17,1.34,1900,9.28,0.0,39,0.00,0
5.084,0.00,11.72,23.89,-9.98,0.13,14.70,13,0.00,0.00,173.1,1.02,37,11.50,0.00,41,4.12,1.34,1880,9.32,0.0,39,0.00,0
5.190,0.00,11.72,23.66,-10.04,0.13,14.70,13,0.00,0.00,171.5,0.88,37,11.50,0.00,41,4.09,1.32,1852,9.36,0.0,39,0.00,0
5.283,0.00,11.72,24.00,-10.04,0.13,14.70,13,0.00,0.00,176.6,0.96,37,11.50,0.00,41,4.06,1.32,1823,9.46,0.0,39,0.00,0
5.383,0.00,11.72,24.12,-10.09,0.13,14.70,13,0.00,0.00,186.8,1.00,37,11.50,0.00,41,3.80,1.30,1654,9.55,0.0,37,0.00,0
5.487,0.00,11.72,23.77,-10.11,0.14,14.70,13,0.00,0.00,183.2,1.00,37,11.50,0.00,41,3.75,1.30,1600,9.59,0.0,37,0.00,0
5.588,0.00,11.72,24.23,-10.06,0.14,14.70,13,0.00,0.00,191.7,0.98,37,11.50,0.00,41,3.60,1.28,1416,9.53,0.0,37,0.00,0
5.688,0.00,11.72,23.89,-9.82,0.15,14.70,13,0.00,0.00,182.5,0.96,37,20.00,0.00,41,3.93,1.32,1288,9.26,2.7,37,0.00,0
5.790,0.00,11.72,24.00,-7.72,0.22,10.47,13,0.00,0.00,64.7,0.96,37,2.50,2.59,41,10.53,2.14,1214,8.43,20.0,37,0.00,0
5.890,0.00,11.72,23.66,-1.86,0.68,12.09,13,0.00,-1.05,22.3,0.98,37,2.50,6.77,41,28.81,1.58,1442,2.71,0.0,36,0.00,0
5.985,0.00,10.94,23.66,-5.24,0.48,18.19,13,0.00,-1.05,73.6,1.10,37,21.00,4.80,41,5.49,1.38,1606,4.72,0.0,36,0.00,0
6.093,-1.56,11.72,11.83,-7.68,0.29,17.41,13,0.00,0.00,81.9,1.14,37,21.00,3.99,41,4.01,1.32,1872,7.12,0.0,36,0.00,0
6.193,-2.34,11.72,12.29,-8.72,0.20,15.97,13,0.00,0.00,81.1,1.02,37,13.00,2.80,41,4.23,1.32,1877,7.89,0.0,36,0.00,0
6.292,-1.56,11.72,13.32,-9.46,0.16,15.32,13,0.00,0.00,91.7,0.92,37,12.00,2.78,41,4.31,1.34,1860,8.84,0.0,36,0.00,0
6.387,-0.78,11.72,14.24,-9.86,0.14,14.70,13,0.00,0.00,95.3,0.90,37,11.50,0.00,41,3.96,1.32,1878,9.15,0.0,34,0.00,0
