Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,0.00,5.47,16.31,-9.92,0.16,14.69,13,0.00,0.00,64.9,0.92,30,34.00,3.84,36,8.48,1.64,3004,6.52,3.1,42,0.00,0
0.076,0.00,5.47,15.85,-9.82,0.17,14.69,13,0.00,0.00,57.2,1.02,30,34.00,3.81,36,8.87,1.66,2974,6.42,3.9,42,0.00,0
0.202,0.00,5.47,15.50,-9.69,0.18,14.69,13,0.00,0.00,54.8,1.08,30,34.00,4.45,36,9.53,1.68,2977,6.27,3.9,42,0.00,0
0.281,1.56,5.47,15.27,-9.55,0.19,14.69,13,0.00,0.00,52.0,1.08,30,33.50,4.46,36,9.63,1.70,2984,6.19,4.3,42,0.00,0
0.371,7.03,5.47,15.16,-9.44,0.20,14.68,13,0.00,0.00,50.3,1.04,30,33.50,5.05,36,10.17,1.72,2957,6.05,4.7,42,0.00,0
0.487,10.16,5.47,14.59,-9.28,0.21,14.68,13,0.00,0.00,44.0,1.00,30,33.50,5.08,36,10.73,1.76,2977,5.78,5.1,42,0.00,0
0.587,10.94,5.47,14.36,-9.07,0.22,14.68,13,0.00,0.00,41.6,0.80,30,33.50,5.05,36,11.72,1.80,2957,5.65,5.5,42,0.00,0
0.672,9.38,6.25,13.55,-8.89,0.24,14.67,13,0.00,0.00,36.5,0.70,30,34.00,5.69,36,12.00,1.82,2963,5.41,5.5,42,0.00,0
0.775,8.59,7.81,13.44,-8.76,0.24,14.67,13,0.00,0.00,35.0,0.60,30,34.00,5.63,36,12.25,1.82,2934,5.36,5.5,42,0.00,0
0.876,6.25,7.81,13.32,-8.68,0.25,14.67,13,0.00,0.00,33.9,0.44,30,34.00,5.64,36,12.48,1.84,2940,5.26,5.9,41,0.00,0
0.976,3.91,7.81,13.09,-8.62,0.25,14.67,13,0.00,0.00,33.4,0.76,30,35.00,5.66,36,12.45,1.82,2948,5.22,5.9,41,0.00,0
1.081,-0.78,7.81,13.21,-8.57,0.26,14.71,13,0.00,0.00,33.4,0.82,30,35.00,5.66,36,12.75,1.84,2936,5.14,5.9,41,0.00,0
1.179,-2.34,7.81,13.44,-8.51,0.26,14.71,13,0.00,0.00,34.3,1.02,30,35.00,5.63,36,12.98,1.84,2932,5.12,5.9,41,0.00,0
1.279,-2.34,7.81,14.24,-8.49,0.27,14.74,13,0.00,0.00,34.6,0.94,30,35.50,5.62,36,12.90,1.84,2928,5.10,6.3,41,0.00,0
