Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-2.34,9.38,14.47,-1.20,0.74,14.70,13,0.00,-1.05,17.4,2.88,34,27.50,8.21,36,21.79,2.16,1750,0.81,12.9,34,1.18,0
0.085,-1.56,9.38,14.70,-1.22,0.75,14.70,13,0.00,-1.05,17.9,2.86,34,27.00,8.17,36,21.88,2.16,1742,0.83,12.9,34,1.18,0
0.192,-1.56,9.38,14.70,-1.20,0.75,14.70,13,0.00,-1.05,18.3,2.86,34,27.00,8.17,36,21.80,2.14,1740,0.79,12.9,34,1.18,0
0.311,-1.56,9.38,14.70,-1.20,0.74,14.70,13,0.00,-1.05,18.3,2.88,34,27.50,7.85,36,21.10,2.14,1752,0.81,12.9,34,1.18,0
0.382,-1.56,9.38,14.59,-1.22,0.75,14.70,13,0.00,-1.05,17.4,2.86,34,27.50,8.27,36,21.80,2.16,1762,0.83,12.9,34,1.18,0
0.481,-1.56,9.38,14.70,-1.22,0.75,14.70,13,0.00,-1.05,17.6,2.86,34,27.00,8.23,36,21.54,2.14,1763,0.83,12.9,34,1.18,0
0.583,-1.56,9.38,14.59,-1.22,0.75,14.70,13,0.00,-1.05,17.4,2.86,34,27.00,8.19,36,21.89,2.14,1746,0.81,12.9,34,1.18,0
0.685,-1.56,9.38,14.59,-1.22,0.75,14.70,13,0.00,-0.70,17.4,2.86,34,27.50,8.25,36,21.72,2.14,1732,0.81,12.9,34,1.18,0
0.787,-2.34,9.38,14.59,-1.24,0.75,14.70,13,0.00,-0.70,17.6,2.86,34,27.50,8.20,36,21.55,2.10,1747,0.70,4.7,34,0.00,0
0.885,-2.34,9.38,14.47,-3.98,0.61,17.97,13,0.00,-0.70,26.8,2.86,34,29.50,6.64,36,13.96,1.54,1737,4.22,0.0,34,0.00,0
0.985,-4.69,9.38,13.90,-6.01,0.42,17.40,13,0.00,0.00,40.7,2.88,34,32.00,4.40,36,8.15,1.52,1876,5.39,0.0,34,0.00,0
1.085,0.00,9.38,11.71,-7.46,0.27,17.08,13,0.00,0.00,49.9,2.92,34,25.50,0.00,36,4.98,1.38,2074,6.81,1.2,34,0.00,0
1.189,0.00,10.94,11.94,-7.99,0.21,13.55,13,0.00,0.00,48.0,2.98,34,18.00,3.03,36,6.61,1.68,2031,7.27,16.5,34,2.35,0
1.287,0.00,9.38,14.01,-3.48,0.54,10.65,13,0.00,0.00,13.4,3.18,34,28.00,9.58,36,25.79,2.10,2140,2.51,0.0,34,0.00,0
1.392,0.00,9.38,13.32,-6.40,0.39,17.10,13,0.00,0.00,32.7,3.20,34,38.00,5.94,36,10.59,1.66,2320,6.13,0.0,34,0.00,0
1.492,0.00,9.38,11.83,-7.91,0.25,16.06,13,0.00,0.00,40.5,3.22,34,26.00,4.14,36,8.54,1.70,2426,6.56,7.8,34,0.00,0
1.591,0.00,9.38,11.14,-6.98,0.33,11.23,13,0.00,0.00,17.9,3.22,34,28.00,6.11,36,16.12,2.04,2385,5.51,9.8,34,0.00,0
1.686,0.00,9.38,11.03,-5.96,0.44,12.69,13,0.00,0.00,15.3,3.14,34,28.00,8.10,36,19.67,2.10,2374,4.99,9.8,34,0.00,0
1.787,-1.56,9.38,12.63,-5.51,0.48,14.00,13,0.00,0.00,16.7,3.06,34,30.00,8.01,36,19.59,2.08,2347,4.51,9.8,34,0.00,0
1.888,-7.03,9.38,12.75,-5.28,0.49,14.53,13,0.00,0.00,17.4,2.92,34,38.00,7.03,36,19.51,2.08,2354,4.35,10.2,34,0.00,0
1.996,-3.91,9.38,14.01,-5.07,0.50,14.54,13,0.00,0.00,18.3,2.82,34,29.00,7.53,36,20.09,2.10,2352,4.10,10.2,34,0.00,0
2.096,-3.12,9.38,14.59,-4.89,0.51,14.54,13,0.00,0.00,18.6,2.68,34,37.00,7.46,36,20.69,2.12,2332,4.00,10.6,34,0.00,0
2.191,-2.34,9.38,14.70,-4.76,0.53,14.54,13,0.00,0.00,18.1,2.68,34,37.00,8.05,36,20.95,2.14,2327,3.83,10.6,34,0.00,0
2.297,-2.34,9.38,14.81,-4.64,0.53,14.56,13,0.00,0.00,17.6,2.80,34,37.00,8.05,36,20.95,2.12,2360,3.73,10.6,32,0.00,0
2.398,-2.34,9.38,14.70,-4.58,0.54,14.56,13,0.00,0.00,17.4,2.90,34,37.00,7.98,36,21.22,2.14,2338,3.69,11.0,32,0.00,0
2.498,-1.56,9.38,14.70,-4.45,0.55,13.99,13,0.00,0.00,16.5,3.00,34,36.50,8.53,36,22.26,2.18,2351,3.54,12.5,32,0.00,0
