Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-3.91,7.03,14.70,-6.27,0.42,14.47,13,0.00,0.00,31.5,1.20,32,26.00,3.44,41,8.74,1.66,1239,5.84,1.2,24,0.00,0
0.074,-3.91,7.03,14.81,-6.27,0.42,14.47,13,0.00,0.00,32.2,1.20,32,26.00,3.40,41,8.65,1.64,1227,5.84,1.2,24,0.00,0
0.178,-3.91,7.03,14.70,-6.28,0.42,14.47,13,0.00,0.00,31.8,1.18,32,26.00,3.45,41,8.70,1.64,1244,5.84,1.2,24,0.00,0
0.273,-3.91,7.03,14.81,-6.28,0.42,14.47,13,0.00,0.00,32.2,1.00,32,26.00,3.44,41,8.70,1.64,1241,5.86,1.2,24,0.00,0
0.375,-3.91,7.03,14.70,-6.27,0.42,14.47,13,0.00,0.00,31.5,1.00,32,26.00,3.44,41,8.56,1.64,1242,5.86,1.2,24,0.00,0
0.518,-3.91,7.03,14.70,-6.28,0.42,14.47,13,0.00,0.00,31.5,1.00,32,26.00,3.45,41,8.56,1.64,1244,5.86,1.2,24,0.00,0
0.594,-3.91,7.03,14.70,-6.28,0.42,14.47,13,0.00,0.00,32.0,1.00,32,26.00,3.47,41,8.44,1.64,1251,5.86,1.2,24,0.00,0
0.673,-3.91,7.03,14.70,-6.28,0.42,14.47,13,0.00,0.00,31.3,0.86,32,26.00,3.44,41,8.61,1.64,1240,5.86,1.2,24,0.00,0
0.770,-3.91,7.03,14.70,-6.28,0.42,14.47,13,0.00,0.00,31.5,0.72,32,26.00,3.43,41,8.70,1.64,1234,5.86,1.2,24,0.00,0
0.874,-3.91,7.03,14.70,-6.28,0.42,14.47,13,0.00,0.00,31.5,0.80,32,26.00,3.45,41,8.61,1.64,1245,5.86,1.2,24,0.00,0
0.975,-3.91,7.03,14.81,-6.28,0.42,14.47,13,0.00,0.00,31.5,0.98,32,26.00,3.43,41,8.52,1.64,1238,5.86,1.2,24,0.00,0
1.078,-3.91,7.03,14.81,-6.28,0.42,14.47,13,0.00,0.00,31.3,1.22,32,26.00,3.44,41,8.61,1.64,1242,5.86,1.2,24,0.00,0
1.175,-3.91,7.03,14.70,-6.32,0.42,14.47,13,0.00,0.00,31.0,1.22,32,26.00,3.45,41,8.56,1.64,1242,5.90,1.2,24,0.00,0
1.274,-3.91,7.03,14.81,-6.28,0.41,14.47,13,0.00,0.00,31.8,0.96,32,26.00,3.46,41,8.56,1.64,1248,5.86,1.2,24,0.00,0
1.380,-3.91,7.03,14.81,-6.32,0.42,14.47,13,0.00,0.00,31.3,0.88,32,26.00,3.47,41,8.74,1.64,1250,5.88,1.2,24,0.00,0
1.479,-3.91,7.03,14.70,-6.30,0.42,14.47,13,0.00,0.00,31.3,0.94,32,26.00,3.46,41,8.61,1.64,1246,5.88,1.6,24,0.00,0
