Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,3.12,10.94,15.04,-6.63,0.38,14.01,13,0.00,0.00,23.8,3.18,43,37.00,5.99,34,15.30,1.94,2160,5.55,8.2,31,0.00,0
0.029,3.12,10.94,14.93,-6.03,0.42,14.56,13,0.00,0.00,22.1,3.18,43,39.50,6.47,34,16.37,1.98,2168,5.12,9.8,31,0.00,0
0.121,0.78,10.94,14.24,-5.43,0.47,14.34,13,0.00,0.00,19.1,3.18,43,39.00,6.85,34,17.73,2.02,2142,4.35,10.2,30,0.00,0
0.240,2.34,10.94,14.24,-4.89,0.50,14.52,13,0.00,0.00,17.9,3.20,43,36.00,7.36,34,19.07,2.06,2155,4.00,10.2,30,0.00,0
0.359,0.78,10.94,14.47,-4.47,0.53,14.73,13,0.00,0.00,17.4,3.16,43,35.50,7.76,34,19.51,2.08,2140,3.48,11.0,30,0.00,0
0.449,0.00,10.94,14.36,-4.04,0.55,14.57,13,0.00,0.00,16.0,3.06,43,35.50,7.80,34,21.12,2.12,2151,3.23,11.8,30,0.00,0
0.559,0.78,10.94,14.36,-3.73,0.58,14.74,13,0.00,0.00,16.2,3.08,43,35.50,7.75,34,21.44,2.12,2151,2.80,11.8,30,0.00,0
0.656,0.78,10.94,14.36,-3.50,0.59,15.08,13,0.00,0.00,15.8,3.08,43,35.00,8.27,34,21.69,2.14,2154,2.67,11.8,30,0.00,0
0.723,0.78,10.94,14.47,-3.33,0.60,15.05,13,0.00,0.00,15.8,3.06,43,35.00,8.26,34,21.85,2.14,2151,2.46,11.8,30,0.00,0
0.823,0.00,10.94,14.36,-3.21,0.61,15.05,13,0.00,0.00,15.5,3.06,43,35.00,8.28,34,21.92,2.14,2155,2.40,11.8,30,0.00,0
0.927,0.78,10.94,14.36,-3.11,0.61,15.02,13,0.00,0.00,15.3,3.06,43,35.00,8.30,34,22.18,2.16,2161,2.28,11.8,30,0.00,0
1.027,0.78,10.94,14.47,-3.06,0.62,15.02,13,0.00,0.00,14.8,3.02,43,35.00,8.66,34,22.01,2.16,2137,2.26,11.8,29,0.00,0
1.128,0.00,10.94,14.47,-3.02,0.62,15.03,13,0.00,0.00,14.6,3.02,43,35.00,8.74,34,22.52,2.18,2157,2.15,11.8,29,0.00,0
1.232,0.78,10.94,14.47,-2.90,0.63,15.03,13,0.00,0.00,14.6,3.02,43,35.00,8.71,34,22.51,2.16,2150,2.11,11.8,29,0.00,0
1.334,0.78,10.94,14.47,-2.86,0.63,15.01,13,0.00,0.00,14.3,3.02,43,35.00,8.79,34,22.68,2.16,2168,2.05,11.8,29,0.00,0
1.429,0.00,10.94,14.36,-2.80,0.63,15.01,13,0.00,0.00,14.3,3.02,43,35.00,8.73,34,22.50,2.16,2154,2.05,11.8,29,0.00,0
1.530,0.00,10.94,14.36,-2.82,0.63,15.02,13,0.00,0.00,14.3,3.02,43,35.00,8.81,34,22.67,2.18,2174,1.97,11.8,29,0.00,0
1.634,0.00,10.94,14.59,-2.80,0.63,15.02,13,0.00,0.00,14.6,3.00,43,35.00,8.74,34,22.76,2.16,2156,2.13,10.2,29,0.00,0
1.734,0.78,10.94,14.59,-3.40,0.59,15.61,13,0.00,0.00,17.4,3.02,43,35.50,7.89,34,18.91,2.02,2177,2.57,7.1,29,0.00,0
1.834,-3.91,10.94,13.90,-4.62,0.49,16.11,13,0.00,0.00,20.5,3.02,43,35.50,6.90,34,16.18,1.84,2172,4.23,5.5,29,0.00,0
1.938,-6.25,10.94,13.44,-5.67,0.40,16.39,13,0.00,0.00,27.3,3.04,43,40.00,5.05,34,11.26,1.76,2153,5.01,4.7,29,0.00,0
2.037,-5.47,10.94,13.90,-6.59,0.33,16.11,13,0.00,0.00,30.3,3.04,43,35.50,4.59,34,12.30,1.68,2160,6.09,4.3,29,0.00,0
2.139,-4.69,10.94,14.24,-7.41,0.29,15.95,13,0.00,0.00,36.0,3.10,43,29.50,4.13,34,9.16,1.66,2149,6.59,2.7,29,0.00,0
2.240,-3.91,9.38,14.70,-7.99,0.26,16.14,13,0.00,0.00,38.1,3.14,43,28.00,4.13,34,6.86,1.50,2150,7.37,1.2,29,0.00,0
2.337,-3.91,9.38,14.70,-8.74,0.20,16.26,13,0.00,0.00,59.3,3.24,43,22.50,3.17,34,5.62,1.46,2121,7.93,0.8,29,0.00,0
2.438,-4.69,9.38,14.59,-8.91,0.19,15.21,13,0.00,0.00,51.5,3.20,43,21.00,3.12,34,6.30,1.48,2092,8.20,0.0,30,0.00,0
2.540,-4.69,9.38,14.24,-9.20,0.18,15.06,13,0.00,0.00,58.3,3.26,43,18.50,3.12,34,5.65,1.44,2091,8.37,0.0,30,0.00,0
2.633,-4.69,10.16,14.47,-9.55,0.16,15.00,13,0.00,0.00,63.0,3.30,43,15.50,2.69,34,4.98,1.40,2100,8.86,0.0,30,0.00,0
2.738,-4.69,10.16,14.24,-9.80,0.15,14.79,13,0.00,0.00,69.6,3.32,43,14.00,2.65,34,4.73,1.38,2074,9.13,0.0,30,0.00,0
2.839,0.00,10.16,14.13,-9.98,0.13,14.73,13,0.00,0.00,74.8,3.30,43,11.50,0.00,34,4.28,1.34,2066,9.20,0.0,30,0.00,0
2.939,0.00,10.16,14.93,-9.94,0.13,14.70,13,0.00,0.00,79.5,3.32,43,11.50,0.00,34,4.34,1.36,2070,9.17,0.0,30,0.00,0
3.039,0.00,10.16,17.57,-9.92,0.13,14.70,13,0.00,0.00,109.6,3.32,43,11.50,0.00,34,4.34,1.34,2031,9.17,0.0,30,0.00,0
3.144,0.00,10.16,24.00,-9.88,0.13,14.70,13,0.00,0.00,128.0,3.30,43,11.50,0.00,34,4.31,1.36,2041,9.13,0.0,30,0.00,0
3.244,0.00,10.16,26.07,-9.86,0.13,14.70,13,0.00,0.00,138.8,3.28,43,11.50,0.00,34,4.34,1.34,2025,9.11,0.0,30,0.00,0
3.344,0.00,10.16,24.58,-9.84,0.13,14.70,13,0.00,0.00,131.0,3.28,43,11.50,0.00,34,4.34,1.34,1996,9.11,0.0,29,0.00,0
3.439,0.00,10.16,23.89,-9.84,0.13,14.70,13,0.00,0.00,126.3,3.28,43,11.50,0.00,34,4.34,1.34,1991,9.11,0.0,29,0.00,0
3.549,0.00,10.16,24.35,-9.84,0.13,14.70,13,0.00,0.00,128.9,3.28,43,11.50,0.00,34,4.28,1.34,1984,9.11,0.0,29,0.00,0
3.649,0.00,10.16,24.35,-9.82,0.13,14.70,13,0.00,0.00,128.0,3.30,43,11.50,0.00,34,4.31,1.34,1986,9.09,0.0,29,0.00,0
3.744,0.00,10.16,24.23,-9.84,0.13,14.70,13,0.00,0.00,126.3,3.36,43,11.50,0.00,34,4.28,1.34,1948,9.13,0.0,29,0.00,0
3.845,0.00,10.16,23.89,-9.84,0.13,14.70,13,0.00,0.00,126.3,3.36,43,11.50,0.00,34,4.28,1.34,1949,9.13,0.0,28,0.00,0
3.945,0.00,10.16,24.00,-9.82,0.13,14.70,13,0.00,0.00,123.0,3.34,43,11.50,0.00,34,4.28,1.34,1947,9.09,0.0,28,0.00,0
4.050,0.00,10.16,24.58,-9.73,0.13,14.70,13,0.00,0.00,125.8,3.32,43,11.50,0.00,34,4.23,1.34,1940,9.01,0.0,28,0.00,0
4.149,0.00,10.16,24.12,-9.73,0.13,14.70,13,0.00,0.00,124.4,3.30,43,11.50,0.00,34,4.17,1.34,1923,9.01,0.0,28,0.00,0
