Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,0.00,0.00,12.40,5.41,1.31,12.05,13,0.00,1.41,5.9,2.58,36,24.50,28.83,25,77.93,3.12,3466,4.97,31.8,45,21.96,0
0.045,0.00,0.00,11.83,6.21,1.38,11.80,13,0.00,1.41,5.2,2.56,36,22.50,32.68,25,81.19,3.16,3482,4.93,33.7,47,25.10,0
0.182,0.00,0.00,11.60,6.94,1.46,11.37,13,0.00,1.41,4.9,2.54,36,21.00,34.62,25,85.79,3.20,3528,4.89,34.5,47,25.10,0
0.273,0.00,0.00,11.14,7.50,1.50,11.33,13,0.00,1.41,4.5,2.50,36,19.00,37.81,25,88.09,3.22,3544,5.09,36.5,47,27.84,0
0.361,0.00,0.00,11.03,8.10,1.56,10.96,13,0.00,1.41,4.5,2.38,36,17.50,40.09,25,92.12,3.28,3546,5.14,38.8,47,29.02,0
0.473,0.00,0.00,11.03,8.53,1.59,10.84,13,0.00,0.70,4.2,2.36,36,16.50,41.88,25,95.10,3.28,3570,4.52,39.2,47,29.41,0
0.554,0.00,0.00,11.03,8.97,1.63,10.84,13,0.00,0.70,4.2,2.36,36,15.50,42.95,25,98.07,3.32,3595,4.35,39.2,48,29.41,0
0.690,0.00,0.00,11.03,9.09,1.64,10.86,13,0.00,0.70,4.2,2.30,36,15.50,43.16,25,98.07,3.34,3612,3.96,36.5,48,27.84,0
0.763,0.00,0.00,11.03,8.99,1.64,11.00,13,0.00,0.70,4.2,2.30,36,15.50,42.72,25,95.32,3.30,3640,3.23,31.8,48,25.49,0
0.852,0.00,0.00,11.03,8.02,1.55,11.17,13,0.00,0.70,4.5,2.34,36,16.50,41.41,25,90.98,3.26,3662,0.81,24.3,48,14.51,0
0.951,0.00,0.00,11.03,6.05,1.35,12.46,13,0.00,1.41,5.6,2.56,36,23.50,32.19,25,72.54,3.04,3680,-1.37,17.6,48,9.41,0
1.057,0.00,0.00,11.03,1.91,1.01,15.49,13,0.00,1.41,7.3,2.50,36,26.50,25.11,25,58.22,2.80,3678,-2.32,0.0,49,0.00,0
1.151,-4.69,0.00,11.14,-3.00,0.49,17.01,13,0.00,0.00,17.4,2.58,36,32.00,13.37,25,23.84,2.16,3694,0.43,0.0,49,0.00,0
1.253,-7.03,0.00,11.03,-5.18,0.38,15.48,13,0.00,0.00,20.0,2.80,36,34.00,8.19,25,22.41,2.18,3840,1.53,0.0,49,0.00,0
1.356,0.00,0.78,12.75,-6.25,0.34,14.99,13,0.00,0.00,21.6,2.86,36,31.50,0.00,25,20.59,2.12,3878,2.67,0.0,49,0.00,0
1.452,0.00,0.78,24.35,-6.48,0.34,14.70,13,0.00,0.00,43.3,3.08,36,23.50,0.00,25,21.46,2.14,3738,2.84,0.0,50,0.00,0
1.553,0.00,1.56,24.23,-6.52,0.35,14.70,13,0.00,0.00,43.3,3.24,36,15.50,0.00,25,21.02,2.12,3580,2.98,0.0,50,0.00,0
1.659,0.00,1.56,24.46,-6.56,0.35,14.70,13,0.00,0.00,46.6,3.26,36,11.50,0.00,25,20.24,2.10,3478,3.07,0.0,50,0.00,0
1.758,0.00,2.34,24.46,-6.56,0.35,14.70,13,0.00,0.00,48.2,3.32,36,11.50,0.00,25,18.74,2.06,3259,3.09,0.0,50,0.00,0
1.863,0.00,2.34,24.35,-6.63,0.34,14.70,13,0.00,0.00,52.7,3.32,36,11.50,0.00,25,17.82,2.04,3162,3.15,0.0,50,0.00,0
1.966,0.00,3.12,24.23,-6.59,0.35,14.70,13,0.00,0.00,54.1,3.18,36,11.50,0.00,25,16.74,2.00,2782,3.35,0.0,50,0.00,0
2.063,0.00,3.12,23.89,-6.57,0.36,14.70,13,0.00,0.00,58.6,3.02,36,11.50,0.00,25,15.91,1.98,2578,4.58,0.0,50,0.00,0
2.164,0.00,3.12,24.12,-6.56,0.38,14.70,13,0.00,0.00,59.7,2.76,36,11.50,0.00,25,15.57,1.94,2474,4.66,0.0,50,0.00,0
2.259,0.00,3.91,24.23,-6.96,0.34,15.00,13,0.00,0.00,68.7,2.70,36,11.50,0.00,25,13.42,1.86,2524,5.03,0.0,50,0.00,0
2.367,0.00,3.91,24.23,-7.29,0.33,14.70,13,0.00,0.00,72.0,2.80,36,11.50,0.00,25,13.01,1.86,2533,5.20,0.0,50,0.00,0
2.467,0.00,4.69,24.23,-7.62,0.30,14.70,13,0.00,0.00,76.0,3.00,36,11.50,0.00,25,11.71,1.80,2488,5.74,0.0,50,0.00,0
2.564,0.00,4.69,24.00,-7.89,0.28,14.70,13,0.00,0.00,84.7,3.32,36,11.50,0.00,25,11.09,1.78,2488,5.92,0.0,50,0.00,0
2.665,0.00,4.69,24.23,-8.20,0.26,14.98,13,0.00,0.00,89.9,3.32,36,11.50,0.00,25,9.91,1.70,2459,6.44,0.0,50,0.00,0
2.765,0.00,4.69,24.35,-8.51,0.24,14.70,13,0.00,0.00,100.2,3.28,36,11.50,0.00,25,9.37,1.68,2452,6.57,0.0,50,0.00,0
2.872,0.00,5.47,23.89,-8.74,0.22,14.70,13,0.00,0.00,102.6,3.26,36,11.50,0.00,25,8.54,1.64,2440,7.10,0.0,49,0.00,0
2.962,0.00,5.47,24.12,-8.99,0.21,14.70,13,0.00,0.00,113.6,3.22,36,11.50,0.00,25,8.08,1.60,2432,7.12,0.0,49,0.00,0
3.072,0.00,6.25,24.12,-9.24,0.19,14.70,13,0.00,0.00,120.7,3.14,36,11.50,0.00,25,7.00,1.54,2412,7.95,0.0,49,0.00,0
3.171,0.00,6.25,23.77,-9.46,0.17,14.70,13,0.00,0.00,136.9,3.02,36,11.50,0.00,25,6.61,1.50,2422,8.33,0.0,49,0.00,0
3.271,0.00,6.25,24.69,-9.67,0.16,14.70,13,0.00,0.00,154.8,2.88,36,11.50,0.00,25,5.74,1.46,2387,8.72,0.0,49,0.00,0
3.373,0.00,7.03,24.69,-9.94,0.14,14.70,13,0.00,0.00,173.1,2.88,36,11.50,0.00,25,5.29,1.42,2397,9.05,0.0,48,0.00,0
