Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-1.56,7.03,14.59,-5.55,0.45,14.71,13,0.00,0.00,13.9,0.32,54,40.00,8.76,55,22.17,2.14,2934,2.11,10.6,27,0.00,0
0.058,-2.34,7.03,14.47,-5.59,0.45,14.71,13,0.00,0.00,13.6,0.34,54,40.00,8.76,55,22.38,2.16,2934,2.17,11.0,27,0.00,0
0.162,-2.34,7.03,14.36,-5.55,0.45,14.71,13,0.00,0.00,13.6,0.32,54,40.00,8.78,55,22.41,2.16,2940,2.13,11.0,27,0.00,0
0.263,-2.34,7.03,14.47,-5.59,0.45,14.71,13,0.00,0.00,13.6,0.32,54,40.00,8.90,55,22.54,2.16,2978,2.15,10.6,28,0.00,0
0.385,-3.12,7.03,14.36,-5.51,0.46,14.71,13,0.00,0.00,13.9,0.32,54,40.00,8.85,55,22.42,2.16,2968,2.11,11.0,28,0.00,0
0.465,-3.91,7.03,14.24,-5.53,0.46,14.71,13,0.00,0.00,13.6,0.32,54,40.00,8.96,55,22.97,2.18,3001,2.07,10.6,28,0.00,0
0.561,-4.69,7.03,14.36,-5.51,0.46,14.71,13,0.00,0.00,13.6,0.32,54,40.00,8.92,55,22.65,2.18,2996,2.05,11.0,28,0.00,0
0.663,-4.69,7.03,14.47,-5.53,0.45,14.71,13,0.00,0.00,13.9,0.32,54,40.50,9.04,55,22.29,2.16,3026,2.07,11.0,28,0.00,0
0.767,-5.47,7.03,14.36,-5.49,0.45,14.71,13,0.00,0.00,13.9,0.32,54,40.50,8.99,55,22.82,2.18,3041,2.05,11.0,29,0.00,0
0.867,-4.69,7.03,14.47,-5.51,0.45,14.71,13,0.00,0.00,14.1,0.32,54,40.50,9.11,55,22.99,2.18,3050,2.07,11.0,29,0.00,0
0.958,-4.69,7.03,14.47,-5.49,0.45,14.71,13,0.00,0.00,13.9,0.32,54,40.50,9.06,55,22.99,2.18,3062,2.01,11.0,29,0.00,0
1.062,-4.69,7.03,14.47,-5.43,0.45,14.71,13,0.00,0.00,13.9,0.32,54,40.50,9.12,55,22.99,2.18,3055,1.97,11.4,29,0.00,0
1.160,-4.69,7.03,14.59,-5.32,0.45,14.71,13,0.00,0.00,13.6,0.32,54,40.50,9.13,54,23.84,2.20,3084,1.80,11.4,29,0.00,0
1.262,-3.12,7.03,14.70,-5.16,0.47,14.70,13,0.00,0.00,13.6,0.32,54,24.50,9.18,54,24.60,2.22,3072,1.70,11.8,29,0.00,0
1.366,-2.34,7.03,14.81,-4.97,0.48,14.69,13,0.00,0.00,13.2,0.32,54,40.00,9.29,54,26.14,2.26,3109,1.64,12.9,29,0.39,0
1.466,-1.56,7.03,14.81,-4.62,0.51,14.36,13,0.00,0.00,12.0,0.32,54,37.00,10.65,54,27.48,2.28,3121,1.90,13.7,29,1.18,0
1.566,-1.56,7.03,14.59,-4.20,0.54,14.32,13,0.00,0.00,11.8,0.32,54,36.50,10.65,54,29.66,2.34,3121,2.17,14.1,29,2.35,0
1.670,-1.56,7.03,14.59,-3.81,0.57,14.36,13,0.00,0.00,10.8,0.32,54,36.00,11.43,54,30.75,2.36,3151,2.19,14.9,29,2.75,0
1.771,-1.56,7.03,14.47,-3.36,0.60,14.34,13,0.00,0.00,10.3,0.32,54,36.00,12.22,54,33.29,2.42,3183,2.59,15.7,29,4.31,0
1.867,-1.56,7.03,14.59,-2.94,0.63,14.45,13,0.00,0.00,9.6,0.34,54,35.50,12.87,54,34.14,2.44,3175,2.77,16.1,29,5.10,0
1.973,-0.78,7.03,14.59,-2.65,0.65,14.43,13,0.00,0.00,9.4,0.32,54,35.00,12.98,54,35.21,2.48,3202,2.59,16.5,29,5.10,0
