Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-15.62,6.25,13.90,-8.53,0.21,14.69,13,0.00,0.00,105.8,0.32,54,20.00,1.02,72,2.55,1.14,680,8.02,0.0,25,0.00,0
0.077,-15.62,6.25,13.90,-8.45,0.22,14.69,13,0.00,0.00,104.2,0.32,54,20.00,1.01,72,2.59,1.18,677,7.99,0.0,25,0.00,0
0.171,-15.62,6.25,14.01,-8.39,0.22,14.69,13,0.00,0.00,102.6,0.32,54,20.00,1.02,72,2.67,1.20,688,7.89,0.0,25,0.00,0
0.257,-15.62,6.25,14.01,-8.31,0.22,14.69,13,0.00,0.00,102.1,0.32,54,19.50,1.05,72,2.69,1.16,700,7.85,0.0,25,0.00,0
0.354,-15.62,6.25,14.24,-8.30,0.22,14.69,13,0.00,0.00,102.1,0.32,54,19.50,1.05,72,2.69,1.16,706,7.81,0.0,25,0.00,0
0.493,-15.62,6.25,14.36,-8.28,0.23,14.69,13,0.00,0.00,104.4,0.32,54,18.00,1.05,72,2.65,1.18,706,7.81,0.0,25,0.00,0
0.558,-15.62,6.25,14.47,-8.26,0.23,14.69,13,0.00,0.00,105.1,0.32,54,17.50,1.06,72,2.69,1.18,713,7.79,0.0,25,0.00,0
0.695,-15.62,6.25,14.70,-8.28,0.23,14.69,13,0.00,0.00,105.4,0.34,54,16.50,1.06,72,2.69,1.18,712,7.81,0.0,25,0.00,0
0.764,-15.62,6.25,14.70,-8.28,0.22,14.69,13,0.00,0.00,106.8,0.32,54,15.00,1.08,72,2.63,1.20,722,7.83,0.0,25,0.00,0
0.861,-15.62,6.25,14.81,-8.30,0.22,14.69,13,0.00,0.00,106.1,0.32,54,15.00,1.08,72,2.69,1.16,722,7.81,0.0,25,0.00,0
0.961,-15.62,6.25,14.81,-8.30,0.22,14.69,13,0.00,0.00,107.0,0.32,54,16.00,1.06,72,2.65,1.16,709,7.85,0.0,25,0.00,0
1.066,-15.62,6.25,14.93,-8.28,0.22,14.69,13,0.00,0.00,107.0,0.32,54,15.00,1.07,72,2.69,1.18,715,7.83,0.0,25,0.00,0
1.161,-14.84,6.25,15.16,-8.30,0.23,14.69,13,0.00,0.00,107.0,0.32,54,15.50,1.06,72,2.73,1.18,708,7.83,0.0,25,0.00,0
1.267,-14.84,6.25,15.27,-8.22,0.23,14.69,13,0.00,0.00,107.0,0.32,54,14.00,1.07,72,2.75,1.20,717,7.79,0.0,25,0.00,0
1.366,-14.84,6.25,15.39,-8.24,0.23,14.69,13,0.00,0.00,107.7,0.34,54,14.50,1.06,72,2.73,1.20,711,7.77,0.0,25,0.00,0
1.467,-14.84,6.25,15.50,-8.22,0.23,14.69,13,0.00,0.00,107.0,0.36,54,13.50,1.07,72,2.82,1.20,718,7.75,0.0,25,0.00,0
1.563,-14.84,6.25,15.50,-8.18,0.23,14.69,13,0.00,0.00,107.0,0.32,54,13.00,1.08,72,2.77,1.18,721,7.72,0.0,25,0.00,0
1.663,-14.06,6.25,15.50,-8.20,0.23,14.69,13,0.00,0.00,107.7,0.34,54,13.50,1.07,72,2.75,1.20,710,7.73,0.0,25,0.00,0
