Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,-9.38,11.72,14.81,-8.10,0.22,14.69,13,0.00,0.00,312.4,1.08,36,13.00,1.09,39,2.62,1.16,725,7.62,0.0,72,0.00,0
0.065,-9.38,11.72,14.81,-8.12,0.22,14.69,13,0.00,0.00,310.0,0.88,36,14.00,1.08,39,2.65,1.20,722,7.66,0.0,72,0.00,0
0.173,-9.38,11.72,14.70,-8.14,0.22,14.69,13,0.00,0.00,317.1,0.88,36,15.00,1.04,39,2.57,1.20,703,7.66,0.0,72,0.00,0
0.274,-9.38,11.72,14.70,-8.06,0.22,14.69,13,0.00,0.00,307.4,1.00,36,14.50,1.06,39,2.65,1.16,708,7.58,0.0,71,0.00,0
0.368,-9.38,11.72,14.70,-8.06,0.22,14.69,13,0.00,0.00,302.7,1.06,36,15.00,1.05,39,2.73,1.18,700,7.58,0.0,71,0.00,0
0.475,-9.38,11.72,14.81,-8.02,0.22,14.69,13,0.00,0.00,300.6,1.26,36,15.50,1.19,39,2.73,1.18,698,7.54,0.0,71,0.00,0
0.596,-9.38,11.72,14.93,-7.99,0.23,14.69,13,0.00,0.00,307.4,1.26,36,14.00,1.19,39,2.75,1.20,698,7.50,0.0,71,0.00,0
0.684,-9.38,11.72,15.04,-7.95,0.23,14.69,13,0.00,0.00,296.6,1.12,36,14.00,1.20,39,2.81,1.20,702,7.46,0.0,71,0.00,0
0.773,-9.38,11.72,15.04,-7.93,0.23,14.69,13,0.00,0.00,294.5,1.06,36,14.50,1.19,39,2.86,1.22,699,7.39,0.0,71,0.00,0
0.873,-8.59,11.72,15.04,-7.87,0.24,14.69,13,0.00,0.00,290.3,1.04,36,14.00,1.19,39,2.87,1.20,698,7.39,0.0,71,0.00,0
0.973,-9.38,11.72,15.04,-7.87,0.24,14.69,13,0.00,0.00,294.5,1.10,36,13.00,1.21,39,2.71,1.16,711,7.39,0.0,71,0.00,0
1.074,-8.59,11.72,15.16,-7.91,0.23,14.69,13,0.00,0.00,312.1,1.08,36,11.50,1.23,39,2.69,1.20,720,7.41,0.0,71,0.00,0
1.173,-8.59,11.72,15.04,-7.91,0.23,14.69,13,0.00,0.00,303.0,1.20,36,11.50,1.23,39,2.75,1.18,722,7.43,0.0,71,0.00,0
1.274,-8.59,11.72,15.16,-7.95,0.23,14.69,13,0.00,0.00,302.7,1.30,36,12.00,1.22,39,2.75,1.20,716,7.46,0.0,71,0.00,0
1.379,-8.59,11.72,15.04,-7.95,0.23,14.69,13,0.00,0.00,302.7,1.32,36,11.00,1.24,39,2.75,1.22,725,7.46,0.0,71,0.00,0
